Movie,Year,Genres,Certification/Rating,IMDb ID,Writer,Director,Actors,Plot,Country,IMDb Rating,Runtime
Ramaiya Vastavaiya,2013,"Action, Drama, Romance",N/A,tt2357926,Shiraz Ahmed,Prabhu Deva,"Shruti Haasan, Girish Taurani, Sonu Sood","Ram falls in love with Sona, who lives on the fields of Punjab. He follows her to her farm, where her elder brother challenges him to produce more seed on their fields. If he wins, he will be allowed to marry her.",India,5.7,148 min
Raanjhanaa,2013,"Drama, Romance",Not Rated,tt2359810,John Mahendran,Aanand L. Rai,"Dhanush, Sonam Kapoor, Mohd. Zeeshan Ayyub","Kundan, the son of a Hindu pundit, discovers that his childhood sweetheart Zoya loves city-bred Akram and wants to marry him. However, he persistently seeks to win her heart.",India,7.6,140 min
Laptop,2012,Drama,N/A,tt2363255,Kaushik Ganguly,Kaushik Ganguly,"Aparajita Adhya, Anjana Basu, Rahul Bose","People in primitive times connected through people. And then there was a time when people wrote letters to connect, and letters took long to arrive. With advancement in technology, snail mail has taken a backseat, and connecting w...",India,7,120 min
2 States,2014,"Comedy, Drama, Romance",Not Rated,tt2372678,Chetan Bhagat,Abhishek Varman,"Arjun Kapoor, Alia Bhatt, Amrita Singh",This movie chronicles how Chetan met his wife and the difficulties they faced due to their cultural differences.,India,6.9,149 min
Goraay Gandogol,2012,Comedy,N/A,tt2375091,Aniket Chattopadhyay,Aniket Chattopadhyay,"Rahul Banerjee, Sampurna Lahiri, Rajatabha Dutta","A boy mistakenly reveals falseness about his family to the in-laws, so he must get some people to act as his relatives.",India,6.8,147 min
Special 26,2013,"Crime, Drama, Thriller",Not Rated,tt2377938,Neeraj Pandey,Neeraj Pandey,"Akshay Kumar, Anupam Kher, Manoj Bajpayee",A gang of con-men rob prominent rich businessmen and politicians by posing as C.B.I and income tax officers.,India,8,144 min
Top Gun,1986,"Action, Drama",PG,tt0092099,Jim Cash,Tony Scott,"Tom Cruise, Tim Robbins, Kelly McGillis","As students at the United States Navy's elite fighter weapons school compete to be best in the class, one daring young pilot learns a few things from a civilian instructor that are not taught in the classroom.",United States,6.9,109 min
Nymphomaniac: Vol. II,2013,Drama,Not Rated,tt2382009,Lars von Trier,Lars von Trier,"Charlotte Gainsbourg, Stellan Skarsgård, Willem Dafoe","The continuation of Joe's sexually dictated life delves into the darker aspects of her adulthood, obsessions and what led to her being in Seligman's care.","Denmark, Germany, Belgium, United Kingdom, France, Sweden",6.6,124 min
D-Day,2013,"Action, Thriller",Not Rated,tt2385104,Nikkhil Advani,Nikkhil Advani,"Irrfan Khan, Rishi Kapoor, Arjun Rampal",A team of experts dispatched to bring in The Most Wanted Man in India almost achieve the unthinkable ... until something goes horribly wrong.,India,7.2,153 min
How to Train Your Dragon: The Hidden World,2019,"Animation, Action, Adventure",PG,tt2386490,Dean DeBlois,Dean DeBlois,"Jay Baruchel, America Ferrera, F. Murray Abraham","When Hiccup discovers Toothless isn't the only Night Fury, he must seek ""The Hidden World"", a secret Dragon Utopia before a hired tyrant named Grimmel finds it first.","United States, Japan",7.4,104 min
Ungli,2014,"Crime, Drama, Thriller",Not Rated,tt2392447,Renzil D'Silva,Renzil D'Silva,"Sanjay Dutt, Emraan Hashmi, Kangana Ranaut",A gang of friends decide to take justice into their own hands.,India,5.9,114 min
Kismet Love Paisa Dilli,2012,"Adventure, Comedy, Crime",N/A,tt2402131,Sanjay M. Khanduri,Sanjay M. Khanduri,"Vivek Oberoi, Mallika Sherawat, Neha Dhupia","Film is set in one winter night in Delhi where a middle class, Delhi university guy falls in love with a girl anchoring a fashion show. In process of wooing her someone plants a sting operation tape in his pocket. This sting opera...",India,4.5,129 min
Ek Thi Daayan,2013,"Horror, Romance, Thriller",Not Rated,tt2406676,Vishal Bhardwaj,Kannan Iyer,"Emraan Hashmi, Konkona Sen Sharma, Kalki Koechlin","When gifted magician Bobo finds himself assailed by hallucinations and seeks professional help, he learns he's being haunted by a sinister spirit.",India,5.7,135 min
Gabbar Is Back,2015,"Action, Crime, Drama",Not Rated,tt2424988,A.R. Murugadoss,Radha Krishna Jagarlamudi,"Akshay Kumar, Shruti Haasan, Kareena Kapoor",A grief-stricken man takes the law into his own hands when he begins to kidnap and murder corrupt public servants.,India,7.1,128 min
Murder 3,2013,"Drama, Mystery, Thriller",Not Rated,tt2429640,Mahesh Bhatt,Vishesh Bhatt,"Randeep Hooda, Aditi Rao Hydari, Sara Loren","A hot-shot fashion and wildlife photographer Vikram gets into a relationship with Nisha. She moves in with him in his palatial house outside of the city. The old world house, made decades ago is as beautiful as it is scary. It hol...",India,5,124 min
The Peanuts Movie,2015,"Animation, Adventure, Comedy",G,tt2452042,Craig Schulz,Steve Martino,"Noah Schnapp, Bill Melendez, Hadley Belle Miller","Snoopy embarks upon his greatest mission as he and his team take to the skies to pursue their archnemesis, while his best pal Charlie Brown begins his own epic quest back home to win the love of his life.","United States, United Kingdom",7,88 min
Chitrangada,2012,Drama,N/A,tt2480566,Rituparno Ghosh,"Rituparno Ghosh, Sanjoy Nag","Rituparno Ghosh, Jisshu Sengupta, Kaushik Banerjee","Chitraganda: The Crowning Wish, is a lusciously lit and deeply personal drama about a choreographer considering a gender-reassignment surgery. The film also explores insights into how gender expression can affect families.",India,6.3,135 min
Bullett Raja,2013,"Action, Crime, Drama",Not Rated,tt2551378,Tigmanshu Dhulia,"Tigmanshu Dhulia, Ajit Sable, Sanjiv Trigunayat","Saif Ali Khan, Sonakshi Sinha, Vidyut Jammwal","A common man who transforms into a gangster revolts against the very system he once obediently followed by declaring war on the police, the government, and the industrialists.",India,4.9,138 min
Holiday,2014,"Action, Crime, Thriller",Not Rated,tt2556308,A.R. Murugadoss,A.R. Murugadoss,"Akshay Kumar, Sonakshi Sinha, Freddy Daruwala","A military officer attempts to hunt down a terrorist, destroy a terrorist gang and deactivate the sleeper cells under its command.",India,7.2,160 min
Dutta Vs. Dutta,2012,Drama,N/A,tt2556700,Anjan Dutt,Anjan Dutt,"Ranodeep Bose, Arpita Chatterjee, Roopa Ganguly",Biren Dutta is a lawyer. He is unsuccessful in his career and does not have any client. His wife is an alcoholic.The couple has one son and one daughter. Biren Dutta has an extra-marital affair with his only client.,India,7.1,124 min
Against the Sun,2014,"Biography, Drama, War",PG,tt2557276,Brian Peter Falk,Brian Peter Falk,"Garret Dillahunt, Tom Felton, Jake Abel","A WWII pilot, bombardier, and radioman find themselves adrift on a lifeboat without food or water after being forced to ditch their plane during a scouting mission.",United States,6.5,100 min
Rajdhani Express,2013,"Action, Drama, Thriller",Not Rated,tt2560016,Ashok Kohli,Ashok Kohli,"Jimmy Shergill, Ishrat Ali, Nishant Balgovind",An unsafe journey by a common man.,India,2.8,140 min
Hawa Bodol,2013,Comedy,N/A,tt2580150,Anindya Bose,Parambrata Chattopadhyay,"Rudranil Ghosh, Parambrata Chattopadhyay, Kaushik Ganguly","The film moves around two old school friends, Jeet (Parambrata Chattopadhyay) and Raj (Rudranil Ghosh) who coincidentally came across each after a quite a while. While Jeet, a associate in a big designer company, which he got from...",India,6.5,136 min
Balukabela.com,2012,Comedy,N/A,tt2580286,Padmanabha Dasgupta,Partha Sen,"Rahul Banerjee, Rudranil Ghosh, Abhiraj",The story is about some friends and other travelers staying at a hotel named 'Balukabela' and the funny incidents that can happen when boys and girls try to love each other.,India,5.2,124 min
Egaro: The Immortal XI,2011,History,N/A,tt2582572,Arun Roy,Arun Roy,"Bijit Basu, Chandan Bhattacharya, Nilanjan Bhowmick",Egaro the Immortal Eleven Bengali Movie is an attempt by the director Arun Roy to revisit the historic 1911 IFA Shield win by eleven barefooted Mohun Bagan players over the East Yorkshire Regiment. The match that took the spirit o...,India,8.2,N/A
